id,question,type,gold_answer,source_ref,notes
u1,Where is OAuth2 token validation enforced?,usage,"JWT bearer-token validation is enforced by the SecurityFilterChain bean in SecurityConfiguration via .oauth2ResourceServer(...).jwt(jwt -> jwt.decoder(jwtDecoder())) with a custom JwtDecoder.",repo@44b6b86:src/main/java/com/att/creditcheck/config/SecurityConfiguration.java:234,"verified; .jwt decoder wired at line 269"
u2,What invokes the SOAP credit-bureau (CSI) client?,cross-service,"The per-operation CSI clients call SoapCallService.getSoapResponse(): ECCServiceClientImpl (ExecuteCreditCheck), EUCCServiceClientImpl, USOCCServiceClientImpl, ICCRServiceClientImpl (all implement CSIClient); SoapRequestTransformerService also wraps it.",repo@44b6b86:src/main/java/com/att/creditcheck/csi/ecc/ECCServiceClientImpl.java:59 ; repo@44b6b86:src/main/java/com/att/creditcheck/csi/SoapCallService.java:45,"Tier-C cross-service; low-level sender is SoapCallService.getSoapResponse"
u3,Which component decides the routing path for a credit request?,dataflow,"CCRoutingService (v1) is the router: routeToCCApi() selects CSI vs Local and the operation (ExecuteCreditCheck/AddAccount/ICCR/CUCADP) using CCRuleAdminService + CCExecutionService. v2 single-product routing is CreditCheckProcessorImpl.",repo@44b6b86:src/main/java/com/att/creditcheck/routing/v1/CCRoutingService.java:138,"core domain logic"
u4,How does a credit request flow from controller to the downstream SOAP service?,dataflow,"CreditRoutingController (POST /v1/public/api/credit-check) -> CCRoutingService.routeToCCApi -> CCExecutionService -> ECCServiceClientImpl -> SoapCallService.getSoapResponse -> CSI SOAP endpoint.",repo@44b6b86:src/main/java/com/att/creditcheck/routing/v1/CreditRoutingController.java:51 ; repo@44b6b86:src/main/java/com/att/creditcheck/routing/v1/CCRoutingService.java:138,"multi-hop procedural (how)"
u5,Which beans are injected into CCRoutingService?,cross-file,"Constructor @Autowired injects CCRuleAdminService, CCExecutionService, ObjectMapper (@Qualifier mapperWithJavaTimeModule), CreditCheckResultService, CCResultMonitoringService, CreditCheckRequestScope, PreApprovalService, EIPLimitService.",repo@44b6b86:src/main/java/com/att/creditcheck/routing/v1/CCRoutingService.java:82,"Spring DI fan-in"
u6,Where is the MongoDB persistence for credit-check results defined?,usage,"CCResultRepository extends MongoRepository<CreditCheckResult,String> (+ custom fragment); document is CreditCheckResult. Related repos: CCResultMonitoringRepository, ProductMappingRepository, UBCTRepository, UBCTTransactionRepository.",repo@44b6b86:src/main/java/com/att/creditcheck/admin/creditcheckresult/CCResultRepository.java:24,"data layer"
u7,What does CCRoutingServiceAspect advise?,cross-file,"It advises the v1 routing methods CCRoutingService.routeToCCApi, routeToCCRecheckApi, routeToPreApprovalOrCC, federalResponseMap, routeToCCRefreshAPI (logs/persists the credit-check request+result around routing).",repo@44b6b86:src/main/java/com/att/creditcheck/routing/v1/aspect/CCRoutingServiceAspect.java:72,"FIXED ref: no class named LoggingAspect exists in this repo; AOP edge a static call graph misses"
u8,Which HTTP endpoints does the service expose?,usage,"v1: /v1/public/api/credit-check (CreditRoutingController). v2: /v2/credit-check and /v2/credit/credit-checks (CreditCheckController, CreditPolicyController, MultiProductCreditCheckController) + /v2/internal/credit-check. Admin: /v1/public/api/credit-check-logs, product-mapping/policy, cache /i1/cache.",repo@44b6b86:src/main/java/com/att/creditcheck/routing/v1/CreditRoutingController.java:52,"API surface; 28 @RestController total"
u9,Which outbound CSI SOAP operations does the service integrate?,cross-service,"ExecuteCreditCheck (ECC), ESOCC, USOCC/UpdateSalesOpp, ICCR and EUCC, implemented under csi/* as CSIClient impls; contracts in src/main/resources/wsdl (CingularWirelessCSI, OrderAndSubscriptionManagementMobilityCSI, CreditAndValidationCSI) + 39 XSDs.",repo@44b6b86:src/main/java/com/att/creditcheck/csi/ecc/ECCServiceClientImpl.java:24,"Tier-C integration surface"
u10,Where are connect/read timeouts for outbound SOAP calls configured?,usage,"SoapCallService sets them from CSIProperties: soapConnection.setConnectTimeout(csiProperties.getConnectionTimeout()) and setReadTimeout(csiProperties.getReadTimeout()); values bound from application.yml.",repo@44b6b86:src/main/java/com/att/creditcheck/csi/SoapCallService.java:52,"verified lines 52-53"
u11,How are failed SOAP calls retried?,dataflow,"SoapCallService.getSoapResponse is annotated @Retryable (retryFor ApplicationException, maxAttempts/backoff from spring.retry.* props, exceptionExpression #retryEnabled) using spring-retry.",repo@44b6b86:src/main/java/com/att/creditcheck/csi/SoapCallService.java:40,"resilience path"
u12,Which services does CCRoutingServiceAspect depend on?,cross-file,"Constructor @Autowired injects CreditCheckResultService, CCResultMonitoringService, ObjectMapper (@Qualifier mapperWithJavaTimeModule) and CreditCheckRequestScope.",repo@44b6b86:src/main/java/com/att/creditcheck/routing/v1/aspect/CCRoutingServiceAspect.java:61,"DI into an aspect"
u13,Where is the UBCT API integration implemented?,cross-service,"ubct/UBCTAPIService + ubct/ICAAMAPIService (token via ubct/TokenProvider, orchestrated by ubct/UBCTService); config keys in admin/configuration/ConfigurationService + ConfigKeyEnum.",repo@44b6b86:src/main/java/com/att/creditcheck/ubct/UBCTAPIService.java,"cross-service; introduced in commit 6503ef5d"
u14,Which MongoDB repositories and collections exist?,usage,"CCResultRepository (CreditCheckResult), CCResultMonitoringRepository (CreditCheckParameter), ProductMappingRepository (productMapping), UBCTRepository (ubct-requestType-mappings), UBCTTransactionRepository (ubctTransactions).",repo@44b6b86:src/main/java/com/att/creditcheck/admin/creditcheckresult/CCResultRepository.java:24,"persistence inventory"
u15,Which aspect advises the outbound SOAP call path?,cross-file,"SoapCallServiceAspect is an @Aspect targeting the CSI SOAP call path (SoapCallService) for logging/monitoring around getSoapResponse.",repo@44b6b86:src/main/java/com/att/creditcheck/csi/aspect/SoapCallServiceAspect.java:36,"AOP; confirm exact pointcut when finalizing the answer"
u16,What rule engine decides which credit-check target/API a request routes to?,dataflow,"CCRoutingService consults CCRuleAdminService (CCRule/CCTarget/CCTargetAPI/Rule models) and executes via CCRuleExecutionService; an unmatched rule raises RuleNotMatchedException.",repo@44b6b86:src/main/java/com/att/creditcheck/routing/v1/CCRoutingService.java:13,"rule-based routing; relevant imports at lines 13-22"
